team1,score1,team2,score2
Israel,1,Poland,2
Austria,2,North Macedonia,1
Serbia,2,Ukraine,2
Luxembourg,0,Portugal,2
Kosovo,0,England,4
Bulgaria,1,Czech,0
Moldova,1,Iceland,2
Andorra,0,Turkey,2
Albania,0,France,2
Ireland,1,Denmark,1
Gibraltar,1,Switzerland,6
Sweden,3,Faroe,0
Spain,5,Romania,0
Malta,1,Norway,2
Liechtenstein,0,Bosnia,3
Italy,9,Armenia,1
Greece,2,Finland,1
Netherlands,5,Estonia,0
Germany,6,Northern Ireland,1
Wales,2,Hungary,0
Slovakia,2,Azerbaijan,0
Poland,3,Slovenia,2
Latvia,1,Austria,0
North Macedonia,1,Israel,0
Belgium,6,Cyprus,1
San Marino,0,Russia,5
Scotland,3,Kazakhstan,1
Georgia,1,Belarus,0
North Macedonia,2,Kosovo,1
Norway,1,Serbia,2
Scotland,0,Israel,0
Slovakia,0,Ireland,0
Bosnia,1,Northern Ireland,1
Bulgaria,1,Hungary,3
Iceland,2,Romania,1
Georgia,0,North Macedonia,1
Serbia,1,Scotland,1
Northern Ireland,1,Slovakia,2
Hungary,2,Iceland,1
